name,type,url,rating,review_count,address,phone,outreach_status,notes
Jéremy Magicien,Organisateur d'événements,https://www.jeremy-magicien.com/,5.0,63,"205 Rue Saint-Honoré, 75001 Paris",06 29 84 79 99,pending,
Les Salons Parisiens,Agence événementielle,https://www.lessalonsparisiens.com/,4.7,61,Paris 9e,,pending,
MYevent Evénementiel Paris,Agence événementielle,http://www.my-event.com/,4.9,60,"192 Bd Voltaire, 75011 Paris",,pending,
YALA! Event Agency,Organisateur d'événements,https://www.yala.agency/,4.9,56,"15 Rue des Halles, 75001 Paris",,pending,
DK Ambassador,Professionnel de l'organisation,http://www.dkambassador.com/,5.0,55,"231 Rue Saint-Honoré, 75001 Paris",06 68 64 25 21,pending,
Fitz Group,Agence événementielle,https://www.fitz-group.fr/,4.6,55,"44 Rue Notre Dame des Victoires, 75002 Paris",01 83 64 81 60,pending,
Blind Test Live Event,Service organisation événements pros,https://www.blindtestlive.com/,5.0,50,"26 Rue du 4 septembre, 75002 Paris",06 30 33 86 31,pending,
MS Private Events,Organisateur d'événements,https://msprivateevents.fr/,4.7,48,"1 Rue de Stockholm, 75008 Paris",06 69 41 52 82,pending,
Mystère Gourmand,Organisateur d'événements,http://mysteregourmand.com/,5.0,48,"229 Rue Saint-Honoré, 75001 Paris",07 66 42 82 93,pending,
Agence WATO (We Are The Oracle),Agence événementielle,https://agence-wato.com/,5.0,47,"12 Rue Montmartre, 75001 Paris",01 84 17 70 45,pending,
Rêve en Or Animation,Organisateur d'événements,http://www.reveenor.fr/,4.5,45,"88 Rue Saint Honoré, 75001 Paris",06 99 27 18 69,pending,
Lieux d'Émotions,Agence événementielle,http://www.lieuxdemotions.fr/,4.0,35,"10 Rue Saint-Marc, 75002 Paris",01 49 29 50 50,pending,
aoyos,Agence événementielle,http://www.aoyos.fr/,4.8,32,"15 Rue des Halles, 75001 Paris",,pending,
Agence LB,Organisateur d'événements,http://www.agencelb.fr/,5.0,32,"10 Rue de Penthièvre, 75008 Paris",,pending,
Fête In France,Agence spécialisée organisation fêtes,https://feteinfrance.com/,5.0,31,"17 Rue du Temple, 75004 Paris",,pending,
Mademoiselle M,Organisateur d'événements,http://mademoisellem.com/,4.8,29,"19 Rue de Palestro, 75002 Paris",01 42 36 16 02,pending,
Une Salle A Paris,Agence événementielle,https://www.unesalleaparis.com/,4.9,28,Paris,07 81 29 45 72,pending,
